,ECG,TIME
776,2844.214599609375,1609287641.974479
777,2758.2275390625,1609287641.974486
778,2840.70556640625,1609287641.974495
779,2948.552734375,1609287641.974503
780,2883.5537109375,1609287641.974511
781,2760.552001953125,1609287641.974519
782,2801.8134765625,1609287642.034754
783,2909.03466796875,1609287642.034775
784,2898.507080078125,1609287642.034784
785,2781.9873046875,1609287642.034792
786,2791.419921875,1609287642.0348
787,2921.3505859375,1609287642.034808
788,2922.468017578125,1609287642.034816
789,2784.468505859375,1609287642.034824
790,2777.047607421875,1609287642.034832
791,2891.44384765625,1609287642.03484
792,2918.82470703125,1609287642.034875
793,2783.12744140625,1609287642.034883
794,2722.285888671875,1609287642.034892
795,2828.90380859375,1609287642.0349
796,2878.703369140625,1609287642.034908
797,2787.6201171875,1609287642.094165
798,2706.013916015625,1609287642.094184
799,2810.8212890625,1609287642.094191
800,2918.377685546875,1609287642.094198
801,2851.814208984375,1609287642.094205
802,2768.4423828125,1609287642.094212
803,2813.145751953125,1609287642.094219
804,2944.864501953125,1609287642.094226
805,2892.337890625,1609287642.094232
806,2780.2216796875,1609287642.094239
807,2785.161376953125,1609287642.094246
808,2910.599365234375,1609287642.094253
809,2904.63134765625,1609287642.09426
810,2775.6171875,1609287642.094267
811,2777.159423828125,1609287642.094274
812,2891.823974609375,1609287642.154007
813,2924.9267578125,1609287642.154026
814,2799.466552734375,1609287642.154034
815,2732.12060546875,1609287642.154066
816,2763.0107421875,1609287642.154073
817,2663.2548828125,1609287642.15408
818,2362.93701171875,1609287642.154118
819,2083.3388671875,1609287642.154125
820,1922.74169921875,1609287642.154132
821,1753.069580078125,1609287642.154138
822,1514.75537109375,1609287642.154145
823,1400.247314453125,1609287642.154152
824,1737.4681396484375,1609287642.15416
825,2563.02978515625,1609287642.154166
826,3277.793701171875,1609287642.154173
827,3382.2880859375,1609287642.214242
828,3317.915283203125,1609287642.214263
829,3269.27783203125,1609287642.214271
830,3108.881591796875,1609287642.214278
831,2900.87646484375,1609287642.214285
832,2870.410888671875,1609287642.214292
833,2955.950927734375,1609287642.214298
834,2925.1279296875,1609287642.214305
835,2796.8291015625,1609287642.214312
836,2759.255615234375,1609287642.214319
837,2889.365234375,1609287642.214326
838,2924.479736328125,1609287642.214358
839,2785.5859375,1609287642.214365
840,2724.6328125,1609287642.214372
841,2826.400390625,1609287642.214379
842,2885.67724609375,1609287642.273985
843,2773.761962890625,1609287642.274002
844,2692.33447265625,1609287642.27401
845,2805.255615234375,1609287642.274017
846,2883.77734375,1609287642.274024
847,2781.0263671875,1609287642.274031
848,2669.87109375,1609287642.274038
849,2729.21484375,1609287642.274045
850,2839.38671875,1609287642.274052
851,2771.0126953125,1609287642.274059
852,2649.508544921875,1609287642.274065
853,2688.2666015625,1609287642.274073
854,2811.08935546875,1609287642.27408
855,2788.961181640625,1609287642.27412
856,2644.904296875,1609287642.274128
857,2630.666015625,1609287642.334568
858,2765.0224609375,1609287642.334588
859,2774.611328125,1609287642.334595
860,2628.542724609375,1609287642.334602
